userName,score,at,content
Pengguna Google,1,2023-08-13 18:58:42,Sering Di UPDATE dari Versi ke Versi sampe Versi dan Logo baru ea ga ada guna dan manfa'atnya tetap sama saja sepi🤔🤔🤔
Endang Sukamti,1,2023-08-13 18:53:41,Setelah ganti bos kojek dh g jelaa makin kaya sampah...rdran g jelas masuk mksin parah terputuk.......semoga cepat kbali kepelukan pak Nadim cs......gojek di tangan dia sejahtra ....bos baru mkin parH
abhe cent,5,2023-08-13 18:53:08,semakin Oke
Budhi Hartono,4,2023-08-13 18:44:32,Gopay later utk gofood sama gocar di blokir... Aneh pembayaran udh tepat waktu... Level jga udh juragan.. Aneh bngt 😡
adit ilham,4,2023-08-13 18:42:53,Gojek kalau bisa biaya jasa aplikasi di hapus supaya bisa banyak yg order food
niko Andrean,1,2023-08-13 18:41:36,Jgn pake apk ini terlalu mudah melakukan transaksi yg tidak di ketahui
Dandi Mugiono,5,2023-08-13 18:41:21,Oke
Muhammad Rahmat Riady,5,2023-08-13 18:38:35,"Kenapa beli paket di my telkomsel di alihkan ke playstore, gabisa beli pakai gopay tolong diperbaiki. Terima kasih"
COR JESU,5,2023-08-13 18:37:13,Nyaman
suzy indriawati,5,2023-08-13 18:36:49,Bagus
Rudy 03051970,5,2023-08-13 18:34:54,Good good good
Alexa Lesmana,1,2023-08-13 18:34:05,Ga ada untung nya .
reno baru,1,2023-08-13 18:25:41,"saya mau bayar gopay pinjam tapi tidak bisa di buka, setiap di klik balik terus... tolong perbaiki aplikasinya saya harus membayar segera, sy tidak mau kena denda😡😡😡"
Al Amin Atur Ridho,5,2023-08-13 18:19:36,Sangat membantu
Cahyariski Okkyabimanyu,5,2023-08-13 18:14:04,Ok
najla cahyaningtyas Bani suryanto,5,2023-08-13 18:13:30,Exelent
Mr dhi 31,5,2023-08-13 18:07:32,Sangat membantu
Bob Faisal,1,2023-08-13 18:00:46,Mau hapus akun harus tarik saldo Rp 128 perak???? Sangat menyusahkan sekali aplikasi kebanggaan INDONESIA
AWR Channel ID,1,2023-08-13 18:00:00,parah ..jangan pakai gopay.. transaksi gede langsung di blokir.. parah ni apk.. mending pakai e wallet lain...
Febrian Andy kusuma,1,2023-08-13 17:57:36,"Sistem buruk, pesan go food 2 jam gak selesai setelah diantar driver lokasi ngak akurat auto uninstall pindah sebelah"
